"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2025","30,478.0","30,396.2","30,541.2","30,359.1","","0.27%"
"11/10/2025","30,396.2","30,430.2","30,474.2","30,348.1","","-0.11%"
"11/07/2025","30,430.2","30,385.9","30,497.2","30,322.3","","0.14%"
"11/06/2025","30,387.3","30,249.8","30,400.4","30,244.6","","0.45%"
"11/05/2025","30,251.1","30,221.9","30,286.2","30,188.0","","0.10%"
"11/04/2025","30,221.9","30,310.1","30,366.8","30,196.9","","-0.30%"
"11/03/2025","30,311.4","30,355.7","30,376.4","30,272.0","","-0.15%"
"10/31/2025","30,355.7","30,452.0","30,489.5","30,317.5","","-0.32%"
"10/30/2025","30,452.0","30,551.1","30,636.0","30,403.3","","-0.33%"
"10/29/2025","30,552.4","30,676.1","30,724.7","30,490.5","","-0.40%"
"10/28/2025","30,676.1","30,630.9","30,722.1","30,607.6","","0.14%"
"10/27/2025","30,632.2","30,582.2","30,657.9","30,540.0","","0.16%"
"10/24/2025","30,582.2","30,592.5","30,642.7","30,510.0","","-0.04%"
"10/23/2025","30,593.8","30,592.1","30,610.4","30,500.8","","0.01%"
"10/22/2025","30,590.8","30,556.6","30,623.7","30,497.7","","0.11%"
"10/21/2025","30,556.6","30,669.3","30,704.8","30,551.3","","-0.36%"
"10/20/2025","30,666.6","30,721.4","30,763.6","30,657.4","","-0.08%"
"10/17/2025","30,692.4","30,779.0","30,891.3","30,689.8","","-0.28%"
"10/16/2025","30,779.0","30,679.5","30,798.8","30,650.6","","0.32%"
"10/15/2025","30,679.5","30,589.5","30,697.0","30,570.6","","0.29%"
"10/14/2025","30,589.5","30,482.5","30,617.2","30,418.9","","0.36%"
"10/13/2025","30,479.9","30,607.1","30,644.4","30,446.9","","-0.42%"
"10/10/2025","30,607.1","30,469.6","30,636.1","30,430.3","","0.45%"
"10/09/2025","30,469.6","30,640.9","30,778.6","30,410.3","","-0.59%"
"10/08/2025","30,650.1","30,725.8","30,748.2","30,568.2","","-0.27%"
"10/07/2025","30,733.7","30,880.0","30,898.2","30,708.6","","-0.45%"
"10/06/2025","30,873.4","30,977.9","30,977.9","30,704.5","","-0.34%"
"10/03/2025","30,977.9","30,923.7","31,022.7","30,903.6","","0.17%"
"10/02/2025","30,925.0","30,976.3","31,047.4","30,836.5","","-0.17%"
"10/01/2025","30,978.9","31,008.1","31,114.9","30,936.7","","-0.10%"
"09/30/2025","31,009.4","30,982.6","31,084.8","30,939.6","","0.09%"
"09/29/2025","30,982.6","30,905.0","31,060.5","30,896.4","","0.25%"
"09/26/2025","30,905.0","30,805.4","30,919.5","30,778.1","","0.32%"
"09/25/2025","30,805.4","31,011.9","31,056.7","30,749.9","","-0.67%"
"09/24/2025","31,011.9","31,215.2","31,228.4","30,984.2","","-0.66%"
"09/23/2025","31,216.6","31,179.3","31,234.7","31,105.3","","0.11%"
"09/22/2025","31,181.9","30,987.6","31,184.5","30,913.7","","0.63%"
"09/19/2025","30,987.6","31,101.3","31,133.5","30,944.0","","-0.37%"
"09/18/2025","31,101.3","31,155.5","31,268.3","31,003.7","","-0.18%"
"09/17/2025","31,156.8","31,309.4","31,437.7","31,142.3","","-0.49%"
"09/16/2025","31,309.4","31,039.3","31,339.8","31,003.9","","0.90%"
"09/15/2025","31,031.4","30,960.2","31,068.3","30,898.3","","0.23%"
"09/12/2025","30,960.2","30,979.4","31,017.4","30,873.1","","-0.06%"
"09/11/2025","30,979.4","30,869.0","31,015.0","30,793.2","","0.36%"
"09/10/2025","30,869.0","30,895.8","30,965.3","30,807.2","","-0.08%"
"09/09/2025","30,894.5","31,072.0","31,125.3","30,881.3","","-0.58%"
"09/08/2025","31,074.6","30,938.2","31,079.9","30,874.0","","0.44%"
"09/05/2025","30,938.2","30,740.4","31,049.0","30,733.8","","0.64%"
"09/04/2025","30,740.4","30,770.5","30,794.2","30,690.3","","-0.10%"
"09/03/2025","30,771.8","30,665.6","30,829.8","30,571.1","","0.34%"
"09/02/2025","30,668.2","30,852.6","30,873.7","30,591.8","","-0.60%"
"09/01/2025","30,852.6","30,786.8","30,922.4","30,784.1","","0.21%"
"08/29/2025","30,786.8","30,812.6","30,848.7","30,692.1","","-0.08%"
"08/28/2025","30,812.6","30,702.4","30,854.8","30,633.5","","0.36%"
"08/27/2025","30,702.4","30,696.8","30,724.8","30,479.1","","0.03%"
"08/26/2025","30,694.1","30,565.1","30,758.7","30,538.8","","0.43%"
"08/25/2025","30,562.5","30,873.0","30,905.9","30,519.1","","-1.01%"
"08/22/2025","30,873.0","30,677.6","30,944.1","30,518.3","","0.64%"
"08/21/2025","30,676.2","30,752.3","30,844.3","30,643.5","","-0.23%"
"08/20/2025","30,748.3","30,653.6","30,807.7","30,576.9","","0.30%"
"08/19/2025","30,656.2","30,668.4","30,776.0","30,606.4","","-0.04%"
"08/18/2025","30,667.1","30,720.1","30,800.1","30,640.9","","-0.21%"
"08/15/2025","30,730.7","30,596.1","30,776.6","30,573.1","","0.45%"
"08/14/2025","30,593.5","30,773.8","30,811.8","30,548.8","","-0.59%"
"08/13/2025","30,775.1","30,668.9","30,851.2","30,633.6","","0.35%"
"08/12/2025","30,666.3","30,470.9","30,730.7","30,441.8","","0.64%"
"08/11/2025","30,470.9","30,529.8","30,628.1","30,404.1","","-0.18%"
"08/08/2025","30,525.9","30,581.1","30,620.0","30,484.3","","-0.18%"
"08/07/2025","30,581.1","30,577.0","30,674.8","30,436.9","","0.01%"
"08/06/2025","30,577.0","30,379.1","30,602.0","30,292.5","","0.63%"
"08/05/2025","30,385.7","30,288.8","30,415.9","30,221.8","","0.32%"
"08/04/2025","30,288.8","30,358.8","30,409.3","30,237.5","","-0.29%"
"08/01/2025","30,377.2","29,906.2","30,408.6","29,851.4","","1.57%"
"07/31/2025","29,907.5","29,880.0","30,045.7","29,878.7","","0.07%"
"07/30/2025","29,885.3","30,282.0","30,386.4","29,872.2","","-1.30%"
"07/29/2025","30,279.4","30,364.5","30,456.4","30,196.6","","-0.28%"
"07/28/2025","30,363.2","30,715.2","30,786.9","30,352.7","","-1.10%"
"07/25/2025","30,699.5","30,704.7","30,754.6","30,597.5","","-0.02%"
"07/24/2025","30,704.7","30,783.8","30,822.0","30,656.4","","-0.26%"
"07/23/2025","30,783.8","30,730.8","30,795.6","30,621.6","","0.17%"
"07/22/2025","30,732.1","30,589.6","30,749.1","30,520.9","","0.47%"
"07/21/2025","30,589.6","30,416.3","30,648.4","30,365.5","","0.58%"
"07/18/2025","30,413.6","30,333.8","30,535.3","30,322.1","","0.26%"
"07/17/2025","30,335.1","30,452.9","30,459.4","30,228.5","","-0.34%"
"07/16/2025","30,437.2","30,319.5","30,664.8","30,246.2","","0.38%"
"07/15/2025","30,322.1","30,480.0","30,570.2","30,298.6","","-0.50%"
"07/14/2025","30,473.5","30,443.0","30,571.7","30,423.4","","-0.18%"
"07/11/2025","30,527.9","30,556.6","30,591.8","30,431.8","","-0.09%"
"07/10/2025","30,555.3","30,627.1","30,714.6","30,454.7","","-0.27%"
